Code,Name
1a,Fast - 90% - 12 hour switch
1b,Fast - 90% - 6 hour switch
1c,Fast - 90% - 0 hour switch
1d,Fast - 75% - 12 hour switch
1e,Fast - 75% - 6 hour switch
1f,Fast - 75% - 0 hour switch
1g,Fast - 50% - 12 hour switch
1h,Fast - 50% - 6 hour switch
1i,Fast - 50% - 0 hour switch
2a,Medium - 90% - 12 hour switch
2b,Medium - 90% - 6 hour switch
2c,Medium - 90% - 0 hour switch
2d,Medium - 75% - 12 hour switch
2e,Medium - 75% - 6 hour switch
2f,Medium - 75% - 0 hour switch
2g,Medium - 50% - 12 hour switch
2h,Medium - 50% - 6 hour switch
2i,Medium - 50% - 0 hour switch
